PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	South, J.; Welsh, D.; Anton, A.; Sigwart, J. D.; Dick, J. T. A.					Anton, Andrea/0000-0002-4104-2966			Increasing temperature decreases the predatory effect of the intertidal shanny Lipophrys pholis on an amphipod prey								JOURNAL OF FISH BIOLOGY				92	1			150	164		10.1111/jfb.13500				JAN 2018	2018	Interactions between Lipophrys pholis and its amphipod prey Echinogammarus marinus were used to investigate the effect of changing water temperatures, comparing current and predicted mean summer temperatures. Contrary to expectations, predator attack rates significantly decreased with increasing temperature. Handling times were significantly longer at 19 degrees C than at 17 and 15 degrees C and the maximum feeding estimate was significantly lower at 19 degrees C than at 17 degrees C. Functional-response type changed from a destabilizing type II to the more stabilizing type III with a temperature increase to 19 degrees C. This suggests that a temperature increase can mediate refuge for prey at low densities. Predatory pressure by teleosts may be dampened by a large increase in temperature (here from 15 to 19 degrees C), but a short-term and smaller temperature increase (to 17 degrees C) may increase destabilizing resource consumption due to high maximum feeding rates; this has implications for the stability of important intertidal ecosystems during warming events.									11	0	0	0	10	0	11			0022-1112	1095-8649		WOS:000419307300010	29139120	
J	Daugaard, Uriah; Petchey, Owen L.; Pennekamp, Frank				Pennekamp, Frank/ABD-3597-2020	Pennekamp, Frank/0000-0003-0679-1045; Petchey, Owen/0000-0002-7724-1633; Daugaard, Uriah/0000-0003-4092-717X			Warming can destabilize predator-prey interactions by shifting the functional response from Type III to Type II								JOURNAL OF ANIMAL ECOLOGY				88	10			1575	1586		10.1111/1365-2656.13053		JUL 2019		OCT 2019	2019	The potential for climate change and temperature shifts to affect community stability remains relatively unknown. One mechanism by which temperature may affect stability is by altering trophic interactions. The functional response quantifies the per capita resource consumption by the consumer as a function of resource abundance and is a suitable framework for the description of nonlinear trophic interactions. We studied the effect of temperature on a ciliate predator-prey pair (Spathidium sp. and Dexiostoma campylum) by estimating warming effects on the functional response and on the associated conversion efficiency of the predator. We recorded prey and predator dynamics over 24 hr and at three temperature levels (15, 20 and 25 degrees C). To these data, we fitted a population dynamic model including the predator functional response, such that the functional response parameters (space clearance rate, handling time and density dependence of space clearance rate) were estimated for each temperature separately. To evaluate the ecological significance of temperature effects on the functional response parameters, we simulated predator-prey population dynamics. We considered the predator-prey system to be destabilized, if the prey was driven extinct by the predator. Effects of increased temperature included a transition of the functional response from a Type III to a Type II and an increase of the conversion efficiency of the predator. The simulated population dynamics showed a destabilization of the system with warming, with greater risk of prey extinction at higher temperatures likely caused by the transition from a Type III to a Type II functional response. Warming-induced shifts from a Type III to II are not commonly considered in modelling studies that investigate how population dynamics respond to warming. Future studies should investigate the mechanism and generality of the effect we observed and simulate temperature effects in complex food webs including shifts in the type of the functional response as well as consider the possibility of a temperature-dependent conversion efficiency.									4	0	0	0	2	0	4			0021-8790	1365-2656		WOS:000479518800001	31257583	
J	Pellan, Laura; Medoc, Vincent; Renault, David; Spataro, Thierry; Piscart, Christophe				piscart, christophe/K-4981-2019; Piscart, Christophe/AAD-8973-2019	piscart, christophe/0000-0002-4054-4542; RENAULT, David/0000-0003-3644-1759; Spataro, Thierry/0000-0003-3373-6527			Feeding choice and predation pressure of two invasive gammarids, Gammarus tigrinus and Dikerogammarus villosus, under increasing temperature								HYDROBIOLOGIA				781	1			43	54		10.1007/s10750-015-2312-3				NOV 2016	2016	In most European freshwater ecosystems, the invasive gammarids Gammarus tigrinus and Dikerogammarus villosus strongly impair recipient communities through predation of a wide range of native invertebrates. Due to the effects of temperature on both the physiology and the behaviour of such ectotherms, understanding how global warming may influence their ecological impact is a research priority. These species were therefore exposed to three different food types to determine their detritivorous, herbivorous and carnivorous characters, and predation was measured characterizing the Holling's functional response. The effect of increasing water temperatures (15, 20, 25A degrees C) on both the food choice and predatory activities was investigated. Both species showed a significant preference for animal tissues at all temperatures. The total food intake increased with temperature for G. tigrinus but did not change for D. villosus, which may result from specific species differences in metabolic requirements. The consumption of live prey strongly increased with temperature. The main differences were an increased searching efficiency in G. tigrinus and a decreased handling time in D. villosus as temperature increased, which may result from differences in foraging strategies. These results suggest that climate change is likely to increase the predation pressure of both invasive gammarids on prey species.									9	0	0	0	8	0	9			0018-8158	1573-5117		WOS:000385154400004		
J	Khosa, Dumisani; South, Josie; Cuthbert, Ross N.; Wasserman, Ryan J.; Weyl, Olaf L. F.				Weyl, Olaf/B-8996-2009; Khosa, Dumisani/AAK-4416-2020	Weyl, Olaf/0000-0002-8935-3296; Khosa, Dumisani/0000-0002-3088-4797; Wasserman, Ryan/0000-0002-4162-1503			Temperature regime drives differential predatory performance in Largemouth Bass and Florida Bass								ENVIRONMENTAL BIOLOGY OF FISHES				103	1			67	76		10.1007/s10641-019-00933-z				JAN 2020	2020	Predation shapes community structures via direct and indirect mechanisms and it is an ecological imperative that predatory impacts are predicted. In this study, we used comparative functional responses (FRs) to compare resource utilisation (i.e. per capita effects) between young-of-year Largemouth Bass and Florida Bass across different temperatures treatments (18, 24 and 30 degrees C). Culex mosquito larvae were used as prey during the experiments. Across all temperature treatments, Type II FRs were observed, which could cause population-destabilising pressures towards native prey communities due to high predation rates at low prey densities. Attack rates did not differ significantly between the fish species at either temperature. Handling times of Largemouth Bass increased significantly with temperature, whilst the converse was true for Florida Bass. Largemouth Bass were found to have higher maximum feeding rates at the low temperature (18 degrees C), driven by significantly shorter handling times compared to Florida Bass. At the intermediate temperature (24 degrees C), handling times and thus maximum feeding rates did not differ significantly between the two species. At high temperature (30 degrees C) Florida Bass exhibited a significantly higher maximum feeding rate and shorter handling time than Largemouth Bass. These results suggest that temperature drives differential ecological impacts, with Florida Bass exerting higher impact than Largemouth Bass on prey at high temperatures and Largemouth Bass having higher impacts than Florida Bass at lower temperatures.									2	0	0	0	2	0	2			0378-1909	1573-5133		WOS:000511976500005		
J	Start, Denon; Kirk, Devin; Shea, Dylan; Gilbert, Benjamin				Gilbert, Benjamin/E-6616-2010	Gilbert, Benjamin/0000-0002-4947-6822			Cannibalism by damselflies increases with rising temperature								BIOLOGY LETTERS				13	5					20170175	10.1098/rsbl.2017.0175				MAY 2017	2017	Trophic interactions are likely to change under climate warming. These interactions can be altered directly by changing consumption rates, or indirectly by altering growth rates and size asymmetries among individuals that in turn affect feeding. Understanding these processes is particularly important for intraspecific interactions, as direct and indirect changes may exacerbate antagonistic interactions. We examined the effect of temperature on activity rate, growth and intraspecific size asymmetries, and how these temperature dependencies affected cannibalism in Lestes congener, a damselfly with marked intraspecific variation in size. Temperature increased activity rates and exacerbated differences in body size by increasing growth rates. Increased activity and changes in body size interacted to increase cannibalism at higher temperatures. We argue that our results are likely to be general to species with life-history stages that vary in their temperature dependencies, and that the effects of climate change on communities may depend on the temperature dependencies of intraspecific interactions.									16	0	0	0	16	0	16			1744-9561	1744-957X		WOS:000407093800014	28515331	
J	Uiterwaal, Stella F.; DeLong, John P.				Uiterwaal, Stella/AAO-3825-2020	Uiterwaal, Stella/0000-0003-2745-5817; DeLong, John/0000-0003-0558-8213			Functional responses are maximized at intermediate temperatures								ECOLOGY				101	4					e02975	10.1002/ecy.2975				APR 2020	2020	Functional responses describe how consumer foraging rates change with resource density. Despite extensive research looking at the factors underlying foraging interactions, there remains ongoing controversy about how temperature and body size control the functional response parameters space clearance (or attack) rate and handling time. Here, we investigate the effects of temperature, consumer mass, and resource mass using the largest compilation of functional responses yet assembled. This compilation contains 2,083 functional response curves covering a wide range of foragers and prey types, environmental conditions, and habitats. After accounting for experimental arena size, dimensionality of the foraging interaction, and consumer taxon, we find that both space clearance rate and handling time are optimized at intermediate temperatures (a unimodal rather than monotonic response), suggesting that the response to global climate change depends on the location of the consumer's current temperature relative to the optimum. We further confirm that functional responses are higher and steeper for large consumers and small resources, and models using consumer and resource masses separately outperformed models using consumer:resource mass ratios, suggesting that consumer and resource body mass act independently to set interaction strengths. Lastly, we show that the extent to which foraging is affected by temperature or mass depends on the taxonomic identity of the consumer and the dimensionality of the consumer-resource interaction. We thus argue that although overall body size and temperature effects can be identified, they are not universal, and therefore food web and community modeling approaches could be improved by considering taxonomic identity along with body size and unimodal temperature effects.									4	0	0	0	2	0	4			0012-9658	1939-9170		WOS:000538111800021	31944271	
J	Vucic-Pestic, Olivera; Ehnes, Roswitha B.; Rall, Bjoern C.; Brose, Ulrich				Brose, Ulrich/I-3488-2014; Rall, Bjoern/G-1508-2013; Brose, Ulrich/AAT-7547-2020	Rall, Bjoern/0000-0002-3191-8389; Brose, Ulrich/0000-0001-9156-583X; , Roswitha/0000-0003-2457-7130			Warming up the system: higher predator feeding rates but lower energetic efficiencies								GLOBAL CHANGE BIOLOGY				17	3			1301	1310		10.1111/j.1365-2486.2010.02329.x				MAR 2011	2011	Predictions on the consequences of the rapidly increasing atmospheric CO2 levels and associated climate warming for population dynamics, ecological community structure and ecosystem functioning depend on mechanistic energetic models of temperature effects on populations and their interactions. However, such mechanistic approaches combining warming effects on metabolic (energy loss of organisms) and feeding rates (energy gain by organisms) remain a key, yet elusive, goal. Aiming to fill this void, we studied the metabolic rates and functional responses of three differently sized, predatory ground beetles on one mobile and one more resident prey species across a temperature gradient (5, 10, 15, 20, 25 and 30 degrees C). Synthesizing metabolic and functional-response theory, we develop novel mechanistic predictions how predator-prey interaction strengths (i.e., functional responses) should respond to warming. Corroborating prior theory, warming caused strong increases in metabolism and decreases in handling time. Consistent with our novel model, we found increases in predator attack rates on a mobile prey, whereas attack rates on a mostly resident prey remained constant across the temperature gradient. Together, these results provide critically important information that environmental warming generally increases the direct short-term per capita interaction strengths between predators and their prey as described by functional-response models. Nevertheless, the several fold stronger increase in metabolism with warming caused decreases in energetic efficiencies (ratio of per capita feeding rate to metabolic rate) for all predator-prey interactions. This implies that warming of natural ecosystems may dampen predator-prey oscillations thus stabilizing their dynamics. The severe long-term implications; however, include predator starvation due to energetic inefficiency despite abundant resources.									147	2	0	0	135	0	148			1354-1013	1365-2486		WOS:000286837900005		
J	Sentis, Arnaud; Hemptinne, Jean-Louis; Brodeur, Jacques				Hemptinne, Jean-Louis/C-5989-2009; Sentis, Arnaud/K-5004-2014	Hemptinne, Jean-Louis/0000-0003-3875-2497; Sentis, Arnaud/0000-0003-4617-3620			Using functional response modeling to investigate the effect of temperature on predator feeding rate and energetic efficiency								OECOLOGIA				169	4			1117	1125		10.1007/s00442-012-2255-6				AUG 2012	2012	Temperature is one of the most important environmental parameters influencing all the biological processes and functions of poikilothermic organisms. Although extensive research has been carried out to evaluate the effects of temperature on animal life histories and to determine the upper and lower temperature thresholds as well as the optimal temperatures for survival, development, and reproduction, few studies have investigated links between thermal window, metabolism, and trophic interactions such as predation. We developed models and conducted laboratory experiments to investigate how temperature influences predator-prey interaction strengths (i.e., functional response) using a ladybeetle larva feeding on aphid prey. As predicted by the metabolic theory of ecology, we found that handling time exponentially decreases with warming, but-in contrast with this theory-search rate follows a hump-shaped relationship with temperature. An examination of the model reveals that temperature thresholds for predation depend mainly on search rate, suggesting that predation rate is primarily determined by searching activities and secondly by prey handling. In contrast with prior studies, our model shows that per capita short-term predator-prey interaction strengths and predator energetic efficiency (per capita feeding rate relative to metabolism) generally increase with temperature, reach an optimum, and then decrease at higher temperatures. We conclude that integrating the concept of thermal windows in short- and long-term ecological studies would lead to a better understanding of predator-prey population dynamics at thermal limits and allow better predictions of global warming effects on natural ecosystems.									64	1	0	0	61	0	65			0029-8549	1432-1939		WOS:000306494800025	22271203	
J	Haubrock, Phillip J.; Cuthbert, Ross N.; Vesely, Lukas; Balzani, Paride; Baker, Nathan Jay; Dick, Jaimie T. A.; Kouba, Antonin				Balzani, Paride/A-2538-2019; Baker, Nathan/H-9706-2019; Vesely, Lukas/G-5118-2015	Balzani, Paride/0000-0003-1549-7139; Baker, Nathan/0000-0001-7948-106X; Vesely, Lukas/0000-0002-0886-4298			Predatory functional responses under increasing temperatures of two life stages of an invasive gecko								SCIENTIFIC REPORTS				10	1					10119	10.1038/s41598-020-67194-0				JUN 22 2020	2020	The direct effects of temperature increases and differences among life-history might affect the impacts of native and invasive predators on recipient communities. Comparisons of functional responses can improve our understanding of underlying processes involved in altering species interaction strengths and may predict the effect of species invading new communities. Therefore, we investigated the functional responses of the mourning gecko Lepidodactylus lugubris (Dumeril & Bibron, 1836) to explore how temperature, body-size and prey density alter gecko predatory impacts in ecosystems. We quantified the functional responses of juvenile and adult geckos in single-predator experiments at 20, 23 and 26 degrees C. Both displayed saturating Type-II functional responses, but juvenile functional responses and the novel Functional Response Ratio were positively affected by temperature as juvenile attack rates (a) increased as a function of increased temperature. Handling times (h) tended to shorten at higher temperature for both predator stages. We demonstrate that the effects of temperature on functional responses of geckos differ across ontogeny, perhaps reflecting life-history stages prioritising growth and maturation or body maintenance. This indicates that temperature-dependent gecko predatory impacts will be mediated by population demographics. We advocate further comparisons of functional responses to understand the invasiveness and future predatory impacts of geckos, and other invasive species globally, as temperatures change.									0	0	0	0	0	0	0			2045-2322			WOS:000543969500020	32572111	
J	Wasserman, Ryan J.; Cuthbert, Ross N.; Alexander, Mhairi E.; Dalu, Tatenda				Dalu, Tatenda/K-3089-2012	Dalu, Tatenda/0000-0002-9019-7702; Wasserman, Ryan/0000-0002-4162-1503			Shifting interaction strength between estuarine mysid species across a temperature gradient								MARINE ENVIRONMENTAL RESEARCH				140				390	393		10.1016/j.marenvres.2018.07.010				SEP 2018	2018	In many coastal regions, mean coastal atmospheric and water temperatures are projected to shift as climate change ensues. Interaction strengths between organisms are likely to change along with environmental changes, given interspecific heterogeneity in responses to physico-chemical variables. Biological interaction outcomes have the potential to alter food web production and trophic level biomass distribution. This is particularly pertinent for key species that are either abundant or play disproportionately large roles in ecosystem processes. Using a functional response approach, we quantified the effects of shifting temperatures on interactions between key mysid species-sympatric in their distribution across a biogeographic transition zone along the east coast of South Africa. The Rhopalophthalmus terranatalis functional response type toward Mesopodopsis wooldridgei prey was independent of temperature, with all treatments producing Type II functional responses. Temperature effects on predator-prey dynamics were, however, evident as interaction strength was greatest at 21 degrees C, as measured by maximum feeding rates. Unlike maximum feeding rate, attack rates increased linearly with increasing temperature across the experimental treatments, Our findings suggest that interaction strength between the mysid shrimp species is likely to vary spatially along the current length of their sympatric distribution and temporally in certain regions where temperatures are projected to change. Such experimental interaction investigations are becoming increasingly important given our relatively poor understanding of the consequences of environmental change for effects on interactions among species and their-wider ecosystem implications.									5	0	0	0	4	0	5			0141-1136	1879-0291		WOS:000447579500037	30054133	
